wavelength[um] flux[W/m2/um]
3.65075183e+00 1.87071187e-15
3.66168523e+00 1.92295760e-15
3.67258501e+00 1.98484554e-15
3.68345213e+00 2.12483432e-15
3.69428706e+00 2.16140615e-15
3.70509005e+00 2.22377916e-15
3.71586037e+00 2.26784275e-15
3.72659922e+00 2.30630052e-15
3.73730588e+00 2.36734084e-15
3.74798155e+00 2.43364056e-15
3.75862694e+00 2.49248816e-15
3.76924133e+00 2.52730072e-15
3.77982473e+00 2.54918597e-15
3.79037809e+00 2.55479768e-15
3.80090189e+00 2.56646841e-15
3.81139493e+00 2.65810393e-15
3.82185864e+00 2.71484598e-15
3.83229303e+00 2.71471922e-15
3.84269834e+00 2.70712053e-15
3.85307455e+00 2.74151313e-15
3.86342287e+00 2.81197907e-15
3.87374187e+00 2.83525793e-15
3.88403273e+00 2.85800420e-15
3.89429593e+00 2.84966913e-15
3.90453100e+00 2.92664008e-15
3.91473842e+00 2.90606941e-15
3.92491841e+00 2.90703166e-15
3.93507075e+00 2.88251311e-15
3.94519663e+00 2.87025940e-15
3.95529509e+00 2.87811978e-15
3.96536708e+00 2.93373897e-15
3.97541285e+00 2.96925285e-15
3.98543215e+00 2.91897994e-15
3.99542499e+00 2.95901505e-15
4.00539207e+00 2.91129173e-15
4.01533365e+00 2.91091809e-15
4.02524948e+00 2.89489840e-15
4.03514004e+00 2.83969985e-15
4.04500580e+00 2.91524680e-15
4.05484581e+00 2.89667370e-15
4.06466150e+00 2.87958207e-15
4.07445192e+00 2.84009383e-15
4.08421803e+00 2.75924167e-15
4.09395981e+00 2.85196097e-15
4.10367775e+00 2.76654457e-15
4.11337137e+00 2.67473603e-15
4.12304115e+00 2.64268918e-15
4.13268709e+00 2.60745930e-15
4.14230967e+00 2.59174485e-15
4.15190887e+00 2.52102486e-15
4.16148520e+00 2.43931894e-15
4.17103815e+00 2.35876174e-15
4.18056822e+00 2.25035530e-15
4.19007540e+00 2.10898654e-15
4.19955969e+00 1.96777870e-15
4.20902157e+00 1.80585272e-15
4.21846104e+00 1.64472954e-15
4.22787857e+00 1.52907037e-15
4.23727369e+00 1.47624978e-15
